ID,Sílaba,Contexto,Find,Replace,Exemplo
A24,"ˈCV.CV, ˈCV.CCV, ˈCCV.CV, ˈCCV.CCV, ˈCVG.CV , ˈCVG.CCV, ˈCCVG.CV","Seleciona a posição anterior às sequências ˈCV.C,ˈCV.CCV, ˈCCV.CV, ˈCCV.CCV, ˈCVG.CV, ˈCCVG.CV eˈCVG.CCV, à exceção de <h>, <l>, <r> e <s> no primeiro ataque silábico, terminadas em vogal",(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: boca -> Processed Word: ˈboca
A25,"ˈCV.CV, ˈCV.CCV, ˈCVG.CV, ˈCVG.CCV","Seleciona a posição anterior às sequências ˈCV.CV ,ˈCV.CCV  e ˈCVG.CV com <r> no primeiro ataque silábico, terminadas em vogal",(?<!ˈ.*)(?<![pbtdcgfvr])(?=r(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: rico -> Processed Word: ˈrico
A26,"ˈCV.CV, ˈCV.CCV, ˈCVG.CV, ˈCVG.CCV","Seleciona a posição anterior às sequências ˈCV.CV ,ˈCV.CCV  e ˈCVG.CV com <l> no primeiro ataque silábico, terminadas em vogal",(?<!ˈ.*)(?<![pbtdcgfv])(?=l(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: logo -> Processed Word: ˈlogo
A27,"ˈCV.CV, ˈCV.CCV, ˈCVG.CV, ˈCVG.CCV","Seleciona a posição anterior às sequências ˈCV.CV ,ˈCV.CCV  e ˈCVG.CV com <s> no primeiro ataque silábico, terminadas em vogal",(?<!ˈ.*)(?<!s)(?=s(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: saco -> Processed Word: ˈsaco
A28,"ˈCV.CV, ˈCV.CCV, ˈCVG.CV, ˈCVG.CCV","Seleciona a posição anterior à sequência CV.CV, com <h> em primeiro ataque silábico, terminada em vogal",(?<!ˈ.*)(?<![cln])(?=h(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: hora -> Processed Word: ˈhora
A29,"ˈCVC.CV, ˈCCVC.CV","Seleciona a posição anterior às sequências ˈCVC.CV eˈCCVC.CV, à exceção de <h>, <l>, <r> e <s> nos dois ataques silábicos, com <l>, <r>, <s> ou <x> em coda silábica, terminadas em vogal",(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)[lrsx](b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: perna -> Processed Word: ˈperna
A30,"ˈCVC.CV, ˈCCVC.CV","Seleciona a posição anterior às sequências ˈCVC.CV eˈCCVC.CV, à exceção de <h>, <r>, <l> e <s> no primeiro ataque silábico, com <r> em coda e <l> ou <s> em segundo ataque silábico, terminadas em vogal",(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)[r][ls][aoe]$),ˈ,Origin Word: conversa -> Processed Word: conˈversa
A31,ˈCVC.CV,"Seleciona a posição anterior à sequência ˈCVC.CV com <l> no primeiro ataque silábico, terminada em vogal",(?<!ˈ.*)(?<![pbtdcgfv])(?=l(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)[lrs](b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: lista -> Processed Word: ˈlista
A32,ˈCVC.CV,"Seleciona a posição anterior à sequência ˈCVC.CV com <s> no primeiro ataque silábico, terminada em vogal",(?<!ˈ.*)(?<!s)(?=s(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)[lrs](b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: sorte -> Processed Word: ˈsorte
A33,ˈCVC.CV,"Seleciona a posição anterior à sequência CVC.CV, com <h> em primeiro ataque silábico, terminada em vogal",(?<!ˈ.*)(?<![cln])(?=h(a|e|i|o|u|ai|ei|oi|ui|ao|au|eu|iu|ou)[lrs](b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: horta -> Processed Word: ˈhorta
A34,"ˈCṼ.CV, ˈCṼ.CCV, ˈCCṼ.CV","Seleciona a posição anterior às sequências ˈCṼ.CV, ˈCṼ.CCV e CCṼ.CV, à exceção de <h>, <l>, <r> e <s> no primeiro ataque silábico, terminadas em vogal",(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aeiou][mn](b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: tempo -> Processed Word: ˈtempo
A35,"ˈCṼ.CV, ˈCṼ.CCV","Seleciona a posição anterior à sequência ˈCṼ.CV, com <r> no primeiro ataque silábico, terminada em vogal",(?<!ˈ.*)(?<![pbtdcgfvr])(?=r[aeiou][mn](b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[aoe]$),ˈ,Origin Word: durante -> Processed Word: duˈrante
