ID,Contexto fonético,Find,Replace,Exemplo
T70,"Seleciona todos os <g> em posição intervocálica, à exceção dos que se encontram parecidos de vogal ou glide nasal",(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w))g(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),ɣ,Origin Word: ˈʒogu -> Processed Word: ˈʒoɣu
T71,"Seleciona todos os <g> em posição intervocálica tónica, à exceção dos que se encontram parecidos de vogal ou glide nasal",(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|o|ɔ|/O/|u|j|w)ˈ)g(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),ɣ,Origin Word: pɐˈgar -> Processed Word: pɐˈɣar
T72,Seleciona todos os <s> em posição intervocálica,(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w))s(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w)),z,Origin Word: ˈasɐ -> Processed Word: ˈazɐ
T73,Seleciona todos os <s> em posição intervocálica tónica,(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w)ˈ)s(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w)),z,Origin Word: cɐˈsar -> Processed Word: cɐˈzar
T74,Seleciona todos os <ç>,ç,s,Origin Word: ˈforçɐ -> Processed Word: ˈforsɐ
T75,Seleciona todos os <c> à exceção dos que se encontram seguidos por ,c(?!(ɐj|ɐ̃j̃|e|ɛ|/E/|ẽ|i|ĩ|ɨ)),k,Origin Word: ˈmarcɐ -> Processed Word: ˈmarkɐ
T76,Seleciona todos os <c> seguidos de ,c(?=(ɐj|ɐ̃j̃|e|ɛ|/E/|ẽ|i|ĩ|ɨ)),s,Origin Word: ˈcertu -> Processed Word: ˈsertu
T77,Seleciona todos os <ss>,s{2},s,Origin Word: ˈissu -> Processed Word: ˈisu
T78,Seleciona todos os <s> seguidos de consoante surda ,s(?=[ptkfs]),ʃ,Origin Word: ˈistu -> Processed Word: ˈiʃtu
T79,Seleciona todos os <s> tónicos seguidos de consoante surda,s(?=ˈ[ptkfs]),ʃ,Origin Word: nɐsˈser -> Processed Word: nɐʃˈser
T80,Seleciona todos os <s> seguidos de consoante sonora,s(?=[bdgmnɲrvzlʎ]),ʒ,Origin Word: ˈmesmu -> Processed Word: ˈmeʒmu
T81,Seleciona todos os <s> em coda silábica no final de palavra,s$,ʃ,Origin Word: ˈmajs -> Processed Word: ˈmajʃ
